Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Superfície_mitjana_(m2_construïts);Nombre
2020;4;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Habitatge nou protegit;
2020;4;10;Sant Martí;67;la Vila Olímpica del Poblenou;Habitatge nou protegit;
2020;4;10;Sant Martí;68;el Poblenou;Habitatge nou protegit;
2020;4;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Habitatge nou protegit;
2020;4;10;Sant Martí;70;el Besòs i el Maresme;Habitatge nou protegit;
2020;4;10;Sant Martí;71;Provençals del Poblenou;Habitatge nou protegit;
2020;4;10;Sant Martí;72;Sant Martí de Provençals;Habitatge nou protegit;
2020;4;10;Sant Martí;73;la Verneda i la Pau;Habitatge nou protegit;
2020;4;1;Ciutat Vella;1;el Raval;Habitatge usat;64.2
2020;4;1;Ciutat Vella;2;el Barri Gòtic;Habitatge usat;79.9
2020;4;1;Ciutat Vella;3;la Barceloneta;Habitatge usat;41.3
2020;4;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Habitatge usat;58.7
2020;4;2;Eixample;5;el Fort Pienc;Habitatge usat;84.4
2020;4;2;Eixample;6;la Sagrada Família;Habitatge usat;71.9
2020;4;2;Eixample;7;la Dreta de l'Eixample;Habitatge usat;125.1
2020;4;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Habitatge usat;82.3
2020;4;2;Eixample;9;la Nova Esquerra de l'Eixample;Habitatge usat;71.7
2020;4;2;Eixample;10;Sant Antoni;Habitatge usat;79.8
2020;4;3;Sants-Montjuïc;11;el Poble Sec;Habitatge usat;60.7
2020;4;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Habitatge usat;74.3
2020;4;3;Sants-Montjuïc;13;la Marina de Port;Habitatge usat;67.9
2020;4;3;Sants-Montjuïc;14;la Font de la Guatlla;Habitatge usat;72.4
2020;4;3;Sants-Montjuïc;15;Hostafrancs;Habitatge usat;74.4
2020;4;3;Sants-Montjuïc;16;la Bordeta;Habitatge usat;76.0
2020;4;3;Sants-Montjuïc;17;Sants - Badal;Habitatge usat;74.1
2020;4;3;Sants-Montjuïc;18;Sants;Habitatge usat;68.8
2020;4;4;Les Corts;19;les Corts;Habitatge usat;85.0
2020;4;4;Les Corts;20;la Maternitat i Sant Ramon;Habitatge usat;84.9
2020;4;4;Les Corts;21;Pedralbes;Habitatge usat;154.9
2020;4;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Habitatge usat;96.0
2020;4;5;Sarrià-Sant Gervasi;23;Sarrià;Habitatge usat;118.3
2020;4;5;Sarrià-Sant Gervasi;24;les Tres Torres;Habitatge usat;145.6
2020;4;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Habitatge usat;120.1
2020;4;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Habitatge usat;135.5
2020;4;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Habitatge usat;105.2
2020;4;6;Gràcia;28;Vallcarca i els Penitents;Habitatge usat;85.1
2020;4;6;Gràcia;29;el Coll;Habitatge usat;71.0
2020;4;6;Gràcia;30;la Salut;Habitatge usat;81.2
2020;4;6;Gràcia;31;la Vila de Gràcia;Habitatge usat;76.0
2020;4;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Habitatge usat;74.1
2020;4;7;Horta-Guinardó;33;el Baix Guinardó;Habitatge usat;69.9
2020;4;7;Horta-Guinardó;34;Can Baró;Habitatge usat;88.1
2020;4;7;Horta-Guinardó;35;el Guinardó;Habitatge usat;64.0
2020;4;7;Horta-Guinardó;36;la Font d'en Fargues;Habitatge usat;107.2
2020;4;7;Horta-Guinardó;37;el Carmel;Habitatge usat;63.4
2020;4;7;Horta-Guinardó;38;la Teixonera;Habitatge usat;71.2
2020;4;7;Horta-Guinardó;39;Sant Genís dels Agudells;Habitatge usat;71.0
2020;4;7;Horta-Guinardó;40;Montbau;Habitatge usat;61.9
2020;4;7;Horta-Guinardó;41;la Vall d'Hebron;Habitatge usat;49.0
2020;4;7;Horta-Guinardó;42;la Clota;Habitatge usat;
2020;4;7;Horta-Guinardó;43;Horta;Habitatge usat;65.4
2020;4;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Habitatge usat;78.6
2020;4;8;Nou Barris;45;Porta;Habitatge usat;70.2
2020;4;8;Nou Barris;46;el Turó de la Peira;Habitatge usat;63.2
2020;4;8;Nou Barris;47;Can Peguera;Habitatge usat;
2020;4;8;Nou Barris;48;la Guineueta;Habitatge usat;76.8
2020;4;8;Nou Barris;49;Canyelles;Habitatge usat;83.4
2020;4;8;Nou Barris;50;les Roquetes;Habitatge usat;54.1
2020;4;8;Nou Barris;51;Verdun;Habitatge usat;50.7
2020;4;8;Nou Barris;52;la Prosperitat;Habitatge usat;58.5
2020;4;8;Nou Barris;53;la Trinitat Nova;Habitatge usat;67.8
2020;4;8;Nou Barris;54;Torre Baró;Habitatge usat;90.5
2020;4;8;Nou Barris;55;Ciutat Meridiana;Habitatge usat;59.1
2020;4;8;Nou Barris;56;Vallbona;Habitatge usat;64.0
2020;4;9;Sant Andreu;57;la Trinitat Vella;Habitatge usat;57.9
2020;4;9;Sant Andreu;58;Baró de Viver;Habitatge usat;69.3
2020;4;9;Sant Andreu;59;el Bon Pastor;Habitatge usat;67.6
2020;4;9;Sant Andreu;60;Sant Areu;Habitatge usat;71.6
2020;4;9;Sant Andreu;61;la Sagrera;Habitatge usat;73.6
2020;4;9;Sant Andreu;62;el Congrés i els Iians;Habitatge usat;73.9
2020;4;9;Sant Andreu;63;Navas;Habitatge usat;83.9
2020;4;10;Sant Martí;64;el Camp de l'Arpa del Clot;Habitatge usat;72.7
2020;4;10;Sant Martí;65;el Clot;Habitatge usat;75.1
2020;4;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Habitatge usat;71.8
2020;4;10;Sant Martí;67;la Vila Olímpica del Poblenou;Habitatge usat;104.3
2020;4;10;Sant Martí;68;el Poblenou;Habitatge usat;72.4
2020;4;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Habitatge usat;107.1
2020;4;10;Sant Martí;70;el Besòs i el Maresme;Habitatge usat;58.0
2020;4;10;Sant Martí;71;Provençals del Poblenou;Habitatge usat;63.9
2020;4;10;Sant Martí;72;Sant Martí de Provençals;Habitatge usat;77.8
2020;4;10;Sant Martí;73;la Verneda i la Pau;Habitatge usat;76.6
